game,winner,reason,turns,surge_A,surge_B,surge_rate,table_size
1,B,back_row,8,1,2,0.3750,127
2,B,back_row,12,1,3,0.3333,284
3,A,back_row,13,1,3,0.3077,458
4,B,back_row,8,1,2,0.3750,526
5,A,back_row,5,2,1,0.6000,580
6,B,back_row,8,1,2,0.3750,666
7,A,back_row,7,2,1,0.4286,778
8,A,back_row,5,2,0,0.4000,850
9,B,back_row,6,2,2,0.6667,938
10,A,back_row,9,3,3,0.6667,1025
11,B,back_row,6,2,2,0.6667,1071
12,A,back_row,9,3,1,0.4444,1182
13,B,back_row,10,2,1,0.3000,1310
14,B,back_row,14,3,1,0.2857,1458
15,B,back_row,14,3,1,0.2857,1609
16,A,back_row,5,2,0,0.4000,1685
17,B,back_row,12,3,1,0.3333,1842
18,A,back_row,9,3,1,0.4444,1950
19,A,back_row,5,2,1,0.6000,2020
20,A,back_row,11,2,3,0.4545,2159
21,B,back_row,8,3,3,0.7500,2230
22,A,back_row,19,3,3,0.3158,2450
23,A,back_row,15,3,3,0.4000,2642
24,B,back_row,8,2,3,0.6250,2739
25,A,back_row,5,2,0,0.4000,2774
26,B,back_row,10,1,3,0.4000,2888
27,B,back_row,8,1,3,0.5000,3012
28,B,back_row,8,1,3,0.5000,3110
29,B,back_row,8,1,3,0.5000,3218
30,B,back_row,8,2,3,0.6250,3314
31,B,back_row,8,2,3,0.6250,3423
32,B,back_row,10,2,3,0.5000,3500
33,B,back_row,10,3,3,0.6000,3613
34,B,back_row,6,1,2,0.5000,3680
35,B,back_row,14,2,3,0.3571,3863
36,A,back_row,19,3,3,0.3158,4101
37,A,back_row,5,2,1,0.6000,4163
38,B,back_row,10,2,3,0.5000,4267
39,B,back_row,10,3,3,0.6000,4418
40,B,back_row,8,1,3,0.5000,4492
41,B,back_row,8,2,3,0.6250,4569
42,B,back_row,8,2,3,0.6250,4661
43,B,back_row,8,2,3,0.6250,4730
44,B,back_row,8,2,3,0.6250,4793
45,B,back_row,8,2,3,0.6250,4873
46,B,back_row,8,2,3,0.6250,4913
47,B,back_row,8,2,3,0.6250,4985
48,B,back_row,8,3,3,0.7500,5081
49,B,back_row,8,2,3,0.6250,5156
50,B,back_row,8,2,3,0.6250,5248
51,B,back_row,8,2,3,0.6250,5303
52,B,back_row,8,2,3,0.6250,5367
53,B,back_row,8,2,3,0.6250,5439
54,B,back_row,8,2,3,0.6250,5513
55,B,back_row,8,2,3,0.6250,5607
56,B,back_row,8,2,3,0.6250,5722
57,A,back_row,5,2,1,0.6000,5792
58,A,back_row,5,2,2,0.8000,5842
59,A,back_row,9,3,2,0.5556,5944
60,B,back_row,8,2,3,0.6250,6049
61,B,back_row,14,2,3,0.3571,6223
62,A,back_row,11,3,3,0.5455,6346
63,B,back_row,20,3,3,0.3000,6622
64,A,back_row,17,3,3,0.3529,6861
65,A,back_row,11,3,3,0.5455,6996
66,A,back_row,11,3,3,0.5455,7103
67,A,back_row,11,3,3,0.5455,7222
68,B,back_row,8,1,3,0.5000,7314
69,B,back_row,10,2,3,0.5000,7415
70,B,back_row,18,3,3,0.3333,7642
71,A,back_row,17,3,3,0.3529,7898
72,B,back_row,10,2,3,0.5000,8024
73,B,back_row,10,2,3,0.5000,8181
74,B,back_row,8,2,3,0.6250,8270
75,B,back_row,8,2,3,0.6250,8345
76,B,back_row,20,3,3,0.3000,8635
77,B,back_row,10,2,3,0.5000,8761
78,B,back_row,10,2,3,0.5000,8860
79,B,back_row,10,2,3,0.5000,8997
80,B,back_row,8,2,3,0.6250,9090
81,B,back_row,10,1,3,0.4000,9236
82,B,back_row,10,2,3,0.5000,9354
83,B,back_row,10,2,3,0.5000,9482
84,B,back_row,10,1,3,0.4000,9615
85,B,back_row,10,1,3,0.4000,9698
86,B,back_row,10,1,3,0.4000,9813
87,B,back_row,10,1,3,0.4000,9905
88,B,back_row,10,1,3,0.4000,9991
89,B,back_row,10,1,3,0.4000,10095
90,B,back_row,10,1,3,0.4000,10215
91,B,back_row,10,1,3,0.4000,10309
92,B,back_row,10,1,3,0.4000,10385
93,B,back_row,10,1,3,0.4000,10467
94,B,back_row,10,1,3,0.4000,10565
95,B,back_row,10,1,3,0.4000,10660
96,B,back_row,10,2,3,0.5000,10753
97,A,back_row,5,2,1,0.6000,10809
98,A,back_row,7,3,1,0.5714,10895
99,B,back_row,12,3,3,0.5000,11059
100,A,back_row,13,3,3,0.4615,11241
1,B,back_row,16,3,3,0.3750,11333
2,B,back_row,10,3,1,0.4000,11388
3,B,back_row,24,3,3,0.2500,11516
4,B,back_row,14,3,2,0.3571,11578
5,A,back_row,7,3,2,0.7143,11612
1,A,back_row,17,2,3,0.2941,283
2,B,back_row,6,1,2,0.5000,331
3,A,back_row,5,2,2,0.8000,431
4,B,back_row,14,3,1,0.2857,741
5,A,back_row,9,2,0,0.2222,915
6,B,back_row,6,2,2,0.6667,1019
7,A,back_row,7,2,0,0.2857,1123
8,A,back_row,7,2,2,0.5714,1225
9,B,back_row,6,1,2,0.5000,1342
10,A,back_row,9,3,1,0.4444,1507
11,A,back_row,7,3,1,0.5714,1645
12,A,back_row,7,3,2,0.7143,1815
13,B,back_row,6,2,2,0.6667,1933
14,B,back_row,6,2,2,0.6667,2061
15,A,back_row,5,2,1,0.6000,2145
16,A,back_row,5,2,1,0.6000,2241
17,B,back_row,14,2,3,0.3571,2472
18,B,back_row,6,2,2,0.6667,2544
19,B,back_row,6,1,2,0.5000,2626
20,A,back_row,13,3,3,0.4615,2856
21,A,back_row,9,3,3,0.6667,2990
22,B,back_row,6,3,2,0.8333,3118
23,A,back_row,11,3,3,0.5455,3302
24,B,back_row,6,2,2,0.6667,3412
25,B,back_row,8,1,2,0.3750,3538
26,A,back_row,9,2,3,0.5556,3693
27,B,back_row,6,2,2,0.6667,3801
28,B,back_row,14,3,3,0.4286,4092
29,B,back_row,10,2,3,0.5000,4328
30,B,back_row,8,1,2,0.3750,4478
31,B,back_row,20,3,3,0.3000,4893
32,A,back_row,7,2,2,0.5714,5023
33,A,back_row,7,2,2,0.5714,5136
34,B,back_row,14,2,3,0.3571,5405
35,B,back_row,10,2,3,0.5000,5597
36,A,back_row,5,2,1,0.6000,5691
37,B,back_row,22,3,3,0.2727,6167
38,A,back_row,9,3,1,0.4444,6348
39,B,back_row,10,2,3,0.5000,6524
40,A,back_row,13,2,3,0.3846,6795
41,A,back_row,17,3,3,0.3529,7141
42,A,back_row,19,3,3,0.3158,7523
43,A,back_row,23,3,3,0.2609,8033
44,A,back_row,11,3,3,0.5455,8247
45,B,back_row,18,3,3,0.3333,8650
46,B,back_row,8,3,1,0.5000,8818
47,B,back_row,16,2,3,0.3125,9116
48,A,back_row,13,3,3,0.4615,9355
49,B,back_row,22,3,3,0.2727,9828
50,A,back_row,5,2,1,0.6000,9907
51,A,back_row,5,2,2,0.8000,9980
52,B,back_row,18,3,3,0.3333,10335
53,B,back_row,8,2,3,0.6250,10483
54,A,back_row,11,3,3,0.5455,10701
55,B,back_row,8,2,3,0.6250,10858
56,B,back_row,8,2,3,0.6250,11015
57,A,back_row,13,3,3,0.4615,11323
58,B,back_row,8,2,3,0.6250,11515
59,B,back_row,8,2,3,0.6250,11625
60,A,back_row,13,3,3,0.4615,11939
